Drug,n_test,%R,AUC (logit),AUC (xgb),Sens (xgb),Spec (xgb),PPV (xgb),BalAcc (xgb)
Levofloxacin,8,38%,0.8,0.733,0.667,0.6,0.5,0.633
Moxifloxacin,8,38%,0.667,0.7,0.333,0.8,0.5,0.567
Ethionamide,10,30%,0.571,0.667,0.333,0.714,0.333,0.524
Ethambutol,8,62%,0.533,0.367,0.6,0.333,0.6,0.467
