cohort,isolate,drug,raw,cal,y
sl_ext,SAMEA2533356,INH,0.20532475411891937,0.23655913978494625,0
sl_ext,SAMEA2533376,INH,0.9949487447738647,0.991889699918897,1
sl_ext,SAMEA2533414,INH,0.8053195476531982,0.8571428571428571,0
sl_ext,SAMEA2533427,INH,0.3234999179840088,0.30303030303030304,0
sl_ext,SAMEA2533504,INH,0.08034384995698929,0.08494208494208494,0
sl_ext,SAMEA2533550,INH,0.04867589846253395,0.03229974160206718,0
sl_ext,SAMEA2533579,INH,0.8026966452598572,0.8571428571428571,0
sl_ext,SAMEA2533595,INH,0.07783890515565872,0.08494208494208494,0
sl_ext,SAMEA2533617,INH,0.32648923993110657,0.30303030303030304,0
sl_ext,SAMEA2533651,INH,0.9914193153381348,0.9881320949432405,1
sl_ext,SAMEA2533673,INH,0.9946379065513611,0.991889699918897,1
sl_ext,SAMEA2533674,INH,0.9950064420700073,0.991889699918897,1
sl_ext,SAMEA2533690,INH,0.8218018412590027,0.8571428571428571,0
sl_ext,SAMEA2533702,INH,0.9779086709022522,0.9774774774774775,0
sl_ext,SAMEA2533713,INH,0.8395956158638,0.9425287356321839,1
sl_ext,SAMEA2533720,INH,0.9960315823554993,0.991889699918897,1
sl_ext,SAMEA2533753,INH,0.7895155549049377,0.8510009501688109,0
sl_ext,SAMEA2533765,INH,0.33107221126556396,0.30303030303030304,0
sl_ext,SAMEA2533809,INH,0.07487823069095612,0.08494208494208494,0
sl_ext,SAMEA2533865,INH,0.3366016149520874,0.30303030303030304,0
sl_ext,SAMEA2533915,INH,0.08034384995698929,0.08494208494208494,0
sl_ext,SAMEA2533929,INH,0.8150209188461304,0.8571428571428571,0
sl_ext,SAMEA2533942,INH,0.05984494090080261,0.046199701937406856,0
sl_ext,SAMEA2533994,INH,0.9916312098503113,0.9881320949432405,1
sl_ext,SAMEA2534021,INH,0.04867589846253395,0.03229974160206718,0
sl_ext,SAMEA2534031,INH,0.34604009985923767,0.30303030303030304,0
sl_ext,SAMEA2534034,INH,0.44358107447624207,0.46153846153846156,1
sl_ext,SAMEA2534074,INH,0.8248737454414368,0.8571428571428571,1
sl_ext,SAMEA2534148,INH,0.055276937782764435,0.046199701937406856,0
sl_ext,SAMEA2534204,INH,0.9920338988304138,0.9881320949432405,1
sl_ext,SAMEA2534237,INH,0.08034384995698929,0.08494208494208494,0
sl_ext,SAMEA2534243,INH,0.8150209188461304,0.8571428571428571,0
sl_ext,SAMEA2534287,INH,0.8150209188461304,0.8571428571428571,0
sl_ext,SAMEA2534293,INH,0.08034384995698929,0.08494208494208494,0
sl_ext,SAMEA2534340,INH,0.07729584723711014,0.08494208494208494,0
sl_ext,SAMEA2534401,INH,0.32685860991477966,0.30303030303030304,0
sl_ext,SAMEA2534408,INH,0.3472651541233063,0.30303030303030304,0
sl_ext,SAMEA2534409,INH,0.07487823069095612,0.08494208494208494,0
sl_ext,SAMEA2534424,INH,0.27245908975601196,0.30303030303030304,0
sl_ext,SAMEA2534429,INH,0.9927670955657959,0.9881320949432405,1
sl_ext,SAMEA2534435,INH,0.39876410365104675,0.4,0
sl_ext,SAMEA2534452,INH,0.30465883016586304,0.30303030303030304,0
sl_ext,SAMEA2534453,INH,0.07783890515565872,0.08494208494208494,0
sl_ext,SAMEA2534512,INH,0.8123741745948792,0.8571428571428571,0
sl_ext,SAMEA2534521,INH,0.9938886165618896,0.9881320949432405,1
sl_ext,SAMEA2534522,INH,0.3570588529109955,0.30303030303030304,0
sl_ext,SAMEA2534527,INH,0.8150209188461304,0.8571428571428571,0
sl_ext,SAMEA2534540,INH,0.07729584723711014,0.08494208494208494,0
sl_ext,SAMEA2534557,INH,0.08034384995698929,0.08494208494208494,0
sl_ext,SAMEA2534632,INH,0.07729584723711014,0.08494208494208494,0
sl_ext,SAMEA2534641,INH,0.37400883436203003,0.30303030303030304,1
sl_ext,SAMEA2534660,INH,0.08034384995698929,0.08494208494208494,0
sl_ext,SAMEA2534705,INH,0.04867589846253395,0.03229974160206718,0
sl_ext,SAMEA2534728,INH,0.04867589846253395,0.03229974160206718,0
sl_ext,SAMEA2534762,INH,0.34604009985923767,0.30303030303030304,0
sl_ext,SAMEA2534794,INH,0.07487823069095612,0.08494208494208494,0
sl_ext,SAMEA2534802,INH,0.993513286113739,0.9881320949432405,1
sl_ext,SAMEA2534807,INH,0.9951385259628296,0.991889699918897,1
sl_ext,SAMEA2534839,INH,0.9918209314346313,0.9881320949432405,1
sl_ext,SAMEA2534856,INH,0.06489825993776321,0.05263157894736842,0
sl_ext,SAMEA2534857,INH,0.07487823069095612,0.08494208494208494,0
sl_ext,SAMEA2534913,INH,0.3472651541233063,0.30303030303030304,0
sl_ext,SAMEA2534939,INH,0.07487823069095612,0.08494208494208494,0
sl_ext,SAMEA2534954,INH,0.07783890515565872,0.08494208494208494,0
sl_ext,SAMEA2534975,INH,0.3234999179840088,0.30303030303030304,0
sl_ext,SAMEA2535001,INH,0.05215967819094658,0.046199701937406856,0
sl_ext,SAMEA2535009,INH,0.8026966452598572,0.8571428571428571,0
sl_ext,SAMEA2535012,INH,0.05215967819094658,0.046199701937406856,0
sl_ext,SAMEA2535046,INH,0.9916312098503113,0.9881320949432405,1
sl_ext,SAMEA2535059,INH,0.996150016784668,0.991889699918897,1
sl_ext,SAMEA2535067,INH,0.04867589846253395,0.03229974160206718,0
sl_ext,SAMEA2535078,INH,0.9917069673538208,0.9881320949432405,1
sl_ext,SAMEA2535082,INH,0.08034384995698929,0.08494208494208494,0
sl_ext,SAMEA2535087,INH,0.9932011961936951,0.9881320949432405,1
sl_ext,SAMEA2535095,INH,0.9944519400596619,0.991889699918897,1
sl_ext,SAMEA2535158,INH,0.5490204691886902,0.6666666666666666,1
sl_ext,SAMEA2535171,INH,0.07783890515565872,0.08494208494208494,0
sl_ext,SAMEA2535186,INH,0.05984494090080261,0.046199701937406856,1
sl_ext,SAMEA2535189,INH,0.9787976145744324,0.9774774774774775,1
sl_ext,SAMEA2535215,INH,0.1643255352973938,0.09090909090909091,0
sl_ext,SAMEA2535225,INH,0.8448114991188049,0.9425287356321839,0
sl_ext,SAMEA2535227,INH,0.9794996976852417,0.9774774774774775,1
sl_ext,SAMEA2535254,INH,0.33699512481689453,0.30303030303030304,0
sl_ext,SAMEA2535275,INH,0.8218018412590027,0.8571428571428571,0
sl_ext,SAMEA2535299,INH,0.9859641790390015,0.9881320949432405,1
sl_ext,SAMEA2535325,INH,0.3234999179840088,0.30303030303030304,1
sl_ext,SAMEA2535342,INH,0.9918209314346313,0.9881320949432405,1
sl_ext,SAMEA2535344,INH,0.07783890515565872,0.08494208494208494,0
sl_ext,SAMEA2535355,INH,0.05215967819094658,0.046199701937406856,0
sl_ext,SAMEA2533356,RIF,0.9713162779808044,0.9568345323741008,1
sl_ext,SAMEA2533376,RIF,0.9897950291633606,0.9784735812133072,1
sl_ext,SAMEA2533414,RIF,0.4014294147491455,0.5471698113207548,0
sl_ext,SAMEA2533427,RIF,0.2792511582374573,0.12871287128712872,0
sl_ext,SAMEA2533504,RIF,0.08733157068490982,0.04435483870967742,0
sl_ext,SAMEA2533550,RIF,0.08984584361314774,0.04435483870967742,0
sl_ext,SAMEA2533579,RIF,0.4686830937862396,0.5471698113207548,0
sl_ext,SAMEA2533595,RIF,0.09285910427570343,0.0810126582278481,0
sl_ext,SAMEA2533617,RIF,0.13891638815402985,0.0810126582278481,0
sl_ext,SAMEA2533651,RIF,0.8303045034408569,0.8902439024390244,0
sl_ext,SAMEA2533673,RIF,0.14616833627223969,0.0810126582278481,0
sl_ext,SAMEA2533674,RIF,0.8726533651351929,0.8902439024390244,0
