query_accession	run_accession	sample_accession	fastq_url
ERS5321013	ERR4832066	SAMEA7564382	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4832066/ERR4832066_2.fastq.gz
ERS5300556	ERR4810838	SAMEA7543897	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4810838/ERR4810838_1.fastq.gz
ERS5300556	ERR4810838	SAMEA7543897	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4810838/ERR4810838_2.fastq.gz
ERS6402868	ERR8975171	SAMEA8718423	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/001/ERR8975171/ERR8975171_1.fastq.gz
ERS6402868	ERR8975171	SAMEA8718423	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/001/ERR8975171/ERR8975171_2.fastq.gz
ERS5301856	ERR4811696	SAMEA7545199	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/006/ERR4811696/ERR4811696_1.fastq.gz
ERS5301856	ERR4811696	SAMEA7545199	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/006/ERR4811696/ERR4811696_2.fastq.gz
ERS6421731	ERR8699832	SAMEA8742149	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/002/ERR8699832/ERR8699832_1.fastq.gz
ERS6421731	ERR8699832	SAMEA8742149	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/002/ERR8699832/ERR8699832_2.fastq.gz
ERS5320460	ERR4831387	SAMEA7563828	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/007/ERR4831387/ERR4831387_1.fastq.gz
ERS5320460	ERR4831387	SAMEA7563828	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/007/ERR4831387/ERR4831387_2.fastq.gz
ERS5298776	ERR4810749	SAMEA7542324	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4810749/ERR4810749_1.fastq.gz
ERS5298776	ERR4810749	SAMEA7542324	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4810749/ERR4810749_2.fastq.gz
ERS6421972	ERR5918061	SAMEA8742390	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR591/001/ERR5918061/ERR5918061_1.fastq.gz
ERS6421972	ERR5918061	SAMEA8742390	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR591/001/ERR5918061/ERR5918061_2.fastq.gz
ERS5282306	ERR4797283	SAMEA7525832	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797283/ERR4797283_1.fastq.gz
ERS5282306	ERR4797283	SAMEA7525832	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797283/ERR4797283_2.fastq.gz
ERS6402939	ERR8975366	SAMEA8718494	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/006/ERR8975366/ERR8975366_1.fastq.gz
ERS6402939	ERR8975366	SAMEA8718494	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/006/ERR8975366/ERR8975366_2.fastq.gz
ERS5319488	ERR4830415	SAMEA7562855	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4830415/ERR4830415_1.fastq.gz
ERS5319488	ERR4830415	SAMEA7562855	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4830415/ERR4830415_2.fastq.gz
ERS5317656	ERR4828583	SAMEA7561020	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/003/ERR4828583/ERR4828583_1.fastq.gz
