query_accession	run_accession	sample_accession	fastq_url
PRJEB7727	ERR552647	SAMEA2534794	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552647/ERR552647_2.fastq.gz
PRJEB7727	ERR552662	SAMEA2534807	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552662/ERR552662_1.fastq.gz
PRJEB7727	ERR552662	SAMEA2534807	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552662/ERR552662_2.fastq.gz
PRJEB7727	ERR552707	SAMEA2534839	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552707/ERR552707_1.fastq.gz
PRJEB7727	ERR552707	SAMEA2534839	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552707/ERR552707_2.fastq.gz
PRJEB7727	ERR552729	SAMEA2534857	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552729/ERR552729_1.fastq.gz
PRJEB7727	ERR552729	SAMEA2534857	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552729/ERR552729_2.fastq.gz
PRJEB7727	ERR552799	SAMEA2534913	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552799/ERR552799_1.fastq.gz
PRJEB7727	ERR552799	SAMEA2534913	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552799/ERR552799_2.fastq.gz
PRJEB7727	ERR552800	SAMEA2534913	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552800/ERR552800_1.fastq.gz
PRJEB7727	ERR552800	SAMEA2534913	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552800/ERR552800_2.fastq.gz
PRJEB7727	ERR552836	SAMEA2534939	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552836/ERR552836_1.fastq.gz
PRJEB7727	ERR552836	SAMEA2534939	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552836/ERR552836_2.fastq.gz
PRJEB7727	ERR552879	SAMEA2534975	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552879/ERR552879_1.fastq.gz
PRJEB7727	ERR552879	SAMEA2534975	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552879/ERR552879_2.fastq.gz
PRJEB7727	ERR552935	SAMEA2535012	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552935/ERR552935_1.fastq.gz
PRJEB7727	ERR552935	SAMEA2535012	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552935/ERR552935_2.fastq.gz
PRJEB7727	ERR553000	SAMEA2535059	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553000/ERR553000_1.fastq.gz
PRJEB7727	ERR553000	SAMEA2535059	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553000/ERR553000_2.fastq.gz
PRJEB7727	ERR553009	SAMEA2535067	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553009/ERR553009_1.fastq.gz
PRJEB7727	ERR553009	SAMEA2535067	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553009/ERR553009_2.fastq.gz
PRJEB7727	ERR553031	SAMEA2535082	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553031/ERR553031_1.fastq.gz
PRJEB7727	ERR553031	SAMEA2535082	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553031/ERR553031_2.fastq.gz
PRJEB7727	ERR553032	SAMEA2535082	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553032/ERR553032_1.fastq.gz
PRJEB7727	ERR553032	SAMEA2535082	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553032/ERR553032_2.fastq.gz
PRJEB7727	ERR553045	SAMEA2535095	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553045/ERR553045_1.fastq.gz
PRJEB7727	ERR553045	SAMEA2535095	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553045/ERR553045_2.fastq.gz
PRJEB7727	ERR553047	SAMEA2535095	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553047/ERR553047_1.fastq.gz
PRJEB7727	ERR553047	SAMEA2535095	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553047/ERR553047_2.fastq.gz
PRJEB7727	ERR553131	SAMEA2535158	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553131/ERR553131_1.fastq.gz
PRJEB7727	ERR553131	SAMEA2535158	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553131/ERR553131_2.fastq.gz
PRJEB7727	ERR553145	SAMEA2535171	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553145/ERR553145_1.fastq.gz
PRJEB7727	ERR553145	SAMEA2535171	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553145/ERR553145_2.fastq.gz
PRJEB7727	ERR553314	SAMEA2535299	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553314/ERR553314_1.fastq.gz
PRJEB7727	ERR553314	SAMEA2535299	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553314/ERR553314_2.fastq.gz
PRJEB7727	ERR553347	SAMEA2535325	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553347/ERR553347_1.fastq.gz
PRJEB7727	ERR553347	SAMEA2535325	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553347/ERR553347_2.fastq.gz
PRJEB7727	ERR553369	SAMEA2535342	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553369/ERR553369_1.fastq.gz
PRJEB7727	ERR553369	SAMEA2535342	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553369/ERR553369_2.fastq.gz
PRJEB7727	ERR553386	SAMEA2535355	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553386/ERR553386_1.fastq.gz
PRJEB7727	ERR553386	SAMEA2535355	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553386/ERR553386_2.fastq.gz
PRJEB7727	ERR550712	SAMEA2533414	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550712/ERR550712_1.fastq.gz
PRJEB7727	ERR550712	SAMEA2533414	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550712/ERR550712_2.fastq.gz
PRJEB7727	ERR550729	SAMEA2533427	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550729/ERR550729_1.fastq.gz
PRJEB7727	ERR550729	SAMEA2533427	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550729/ERR550729_2.fastq.gz
PRJEB7727	ERR550902	SAMEA2533550	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550902/ERR550902_1.fastq.gz
PRJEB7727	ERR550902	SAMEA2533550	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550902/ERR550902_2.fastq.gz
PRJEB7727	ERR550931	SAMEA2533572	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550931/ERR550931_1.fastq.gz
PRJEB7727	ERR550931	SAMEA2533572	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550931/ERR550931_2.fastq.gz
PRJEB7727	ERR550964	SAMEA2533595	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550964/ERR550964_1.fastq.gz
PRJEB7727	ERR550964	SAMEA2533595	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550964/ERR550964_2.fastq.gz
PRJEB7727	ERR551038	SAMEA2533651	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551038/ERR551038_1.fastq.gz
PRJEB7727	ERR551038	SAMEA2533651	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551038/ERR551038_2.fastq.gz
PRJEB7727	ERR551069	SAMEA2533673	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551069/ERR551069_1.fastq.gz
PRJEB7727	ERR551069	SAMEA2533673	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551069/ERR551069_2.fastq.gz
PRJEB7727	ERR551089	SAMEA2533690	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551089/ERR551089_1.fastq.gz
PRJEB7727	ERR551089	SAMEA2533690	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551089/ERR551089_2.fastq.gz
PRJEB7727	ERR551174	SAMEA2533753	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551174/ERR551174_1.fastq.gz
PRJEB7727	ERR551174	SAMEA2533753	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551174/ERR551174_2.fastq.gz
PRJEB7727	ERR551197	SAMEA2533768	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551197/ERR551197_1.fastq.gz
PRJEB7727	ERR551197	SAMEA2533768	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551197/ERR551197_2.fastq.gz
PRJEB7727	ERR551255	SAMEA2533809	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551255/ERR551255_1.fastq.gz
PRJEB7727	ERR551255	SAMEA2533809	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551255/ERR551255_2.fastq.gz
